,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
0,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +317 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1,Accenture,4,IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +157 more,"Company Culture, Job Security, Skill Development / Learning",Data missing
2,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,29 years old,Teaneck. New Jersey. +136 more,Skill Development / Learning,Data missing
3,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,78 years old,Bangalore/Bengaluru +265 more,Job Security,Data missing
4,ICICI Bank,4,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1232 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
5,HDFC Bank,3.9,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1471 more,"Job Security, Skill Development / Learning",Data missing
6,Infosys,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,42 years old,Bengaluru/Bangalore +156 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
7,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Paris +108 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
8,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,32 years old,Noida +171 more,Job Security,Promotions / Appraisal
9,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,37 years old,Pune +248 more,Data missing,Data missing
10,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,26 years old,New York +93 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
11,Axis Bank,3.8,Banking,50k-1 Lakh Employees,Public,30 years old,Mumbai +1252 more,Job Security,Data missing
12,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,40 years old,Fremont +100 more,"Job Security, Company Culture",Data missing
13,Amazon,4.1,Internet,1 Lakh+ Employees,Public,29 years old,Seattle +415 more,"Company Culture, Salary & Benefits, Work Life Balance",Data missing
14,Teleperformance,3.5,BPO,50k-1 Lakh Employees,Forbes Global 2000,45 years old,Paris +158 more,Data missing,Data missing
15,Reliance Jio,3.9,Telecom,50k-1 Lakh Employees,Public,16 years old,Navi Mumbai +1114 more,"Job Security, Skill Development / Learning",Data missing
16,IBM,4.1,Software Product,1 Lakh+ Employees,Public,112 years old,Armonk +140 more,"Work Life Balance, Job Security, Skill Development / Learning",Data missing
17,Larsen & Toubro Limited,4,Engineering & Construction,10k-50k Employees,Public,85 years old,Mumbai +606 more,"Job Security, Skill Development / Learning",Data missing
18,Reliance Retail,3.9,Retail,1 Lakh+ Employees,Data missing,17 years old,Navi Mumbai +939 more,"Skill Development / Learning, Job Security",Data missing
19,HDB Financial Services,4,NBFC,1 Lakh+ Employees,Data missing,16 years old,Ahmedabad +913 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
20,Vodafone Idea,4.2,Data missing,5k-10k Employees,Public,5 years old,Mumbai +617 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
21,BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,12 years old,Bangalore +297 more,Data missing,"Job Security, Work Life Balance, Company Culture"
22,Deloitte,4,Management Consulting,1 Lakh+ Employees,Data missing,178 years old,London +152 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
23,Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,20 years old,Mumbai +538 more,Job Security,Data missing
24,Reliance Industries,4,Oil & Gas,Data missing,Public,46 years old,Navi Mumbai +617 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
25,Bharti Airtel,4,Telecom,10k-50k Employees,Public,28 years old,Gurgaon/Gurugram +625 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
26,Tata Motors,4.2,Automobile,10k-50k Employees,Public,78 years old,Pune +436 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
27,iEnergizer,4.5,BPO,10k-50k Employees,Data missing,23 years old,Noida +25 more,"Company Culture, Skill Development / Learning, Job Security",Data missing
28,Flipkart,4.1,Internet,10k-50k Employees,Public,16 years old,Bangalore +513 more,"Skill Development / Learning, Company Culture, Job Security",Data missing
29,WNS,3.5,BPO,10k-50k Employees,Data missing,27 years old,Mumbai +33 more,Job Security,Promotions / Appraisal
30,IndusInd Bank,3.7,Banking,10k-50k Employees,Public,29 years old,Gurgaon/Gurugram +648 more,Data missing,Data missing
31,Mahindra & Mahindra,4.1,Automobile,1 Lakh+ Employees,Public,78 years old,Mumbai +464 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
32,Ernst & Young,3.6,Management Consulting,50k-1 Lakh Employees,Data missing,21 years old,London +94 more,Job Security,Data missing
33,AU Small Finance Bank,4.5,Banking,10k-50k Employees,Fortune India 500,27 years old,Jaipur +393 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
34,Infosys BPM,3.9,BPO,10k-50k Employees,Data missing,21 years old,Bangalore/Bengaluru +60 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
35,DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,6 years old,Minato +67 more,Work Life Balance,Data missing
36,IDFC FIRST Bank,4,Banking,10k-50k Employees,Public,5 years old,Mumbai +538 more,"Salary & Benefits, Skill Development / Learning, Job Security",Data missing
37,Conneqt Business Solutions,3.7,IT Services & Consulting,10k-50k Employees,Data missing,21 years old,Mumbai +195 more,Data missing,Data missing
38,HDFC Life,4,Insurance,10k-50k Employees,Public,23 years old,Mumbai +520 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
39,LTIMindtree,3.7,IT Services & Consulting,50k-1 Lakh Employees,Public,24 years old,Bangalore/Bengaluru +45 more,Data missing,Data missing
40,Bajaj Finserv,4,Insurance,10k-50k Employees,Public,16 years old,Pune +821 more,"Salary & Benefits, Skill Development / Learning, Job Security",Data missing
41,Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,25 years old,Bangalore/Bengaluru +44 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
42,HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,21 years old,Pune +56 more,"Job Security, Work Life Balance, Company Culture",Data missing
43,Samsung,4.1,Consumer Electronics & Appliances,5k-10k Employees,Public,85 years old,Seoul +492 more,"Salary & Benefits, Job Security, Skill Development / Learning",Data missing
44,Hinduja Global Solutions,3.9,Software Product,10k-50k Employees,Public,23 years old,Bangalore/Bengaluru +89 more,"Job Security, Company Culture, Work Life Balance",Data missing
45,PwC,3.6,Management Consulting,10k-50k Employees,Conglomerate,143 years old,London +85 more,Job Security,Data missing
46,Startek,3.2,BPO,10k-50k Employees,Public,6 years old,Mumbai +65 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
47,Ericsson,4.3,Data missing,10k-50k Employees,Forbes Global 2000,147 years old,Stockholm +142 more,"Company Culture, Work Life Balance, Job Security",Data missing
48,Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,42 years old,New Delhi +346 more,"Job Security, Salary & Benefits, Skill Development / Learning",Data missing
49,Yes Bank,3.9,Banking,10k-50k Employees,Public,19 years old,Mumbai +423 more,"Salary & Benefits, Work Life Balance",Data missing
50,Asian Paints,4.1,Chemicals,5k-10k Employees,Public,81 years old,Mumbai +389 more,"Salary & Benefits, Skill Development / Learning, Job Security",Data missing
51,Cipla Pharmaceutical,4.1,Pharma,10k-50k Employees,Public,88 years old,Mumbai +221 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Data missing
52,Dr. Reddy's,4.1,Pharma,10k-50k Employees,Public,39 years old,Hyderabad/Secunderabad +153 more,"Skill Development / Learning, Company Culture, Work Life Balance",Data missing
53,Sutherland Global Services,3.7,IT Services & Consulting,10k-50k Employees,Data missing,37 years old,Pittsford +48 more,Data missing,Data missing
54,EXL Service,3.8,Analytics & KPO,10k-50k Employees,Data missing,24 years old,New York City +42 more,"Job Security, Work Life Balance",Data missing
55,UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,40 years old,Mumbai +416 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
56,NTT DATA,4,Data missing,10k-50k Employees,Data missing,35 years old,Chiyoda City +46 more,"Job Security, Work Life Balance, Company Culture",Data missing
57,ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai +434 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
58,Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,22 years old,Kolkata +707 more,Job Security,Data missing
59,Paytm,3.4,FinTech,10k-50k Employees,Public,13 years old,Noida +291 more,Data missing,Data missing
60,Jana Small Finance Bank,3.8,Banking,10k-50k Employees,Public,17 years old,Bangalore/Bengaluru +334 more,Data missing,Data missing
61,HCL Group,3.7,IT Services & Consulting,1 Lakh+ Employees,Data missing,47 years old,Chennai +70 more,Job Security,Data missing
62,Lupin,4.1,Pharma,10k-50k Employees,Public,55 years old,Mumbai +159 more,"Skill Development / Learning, Company Culture, Work Life Balance",Data missing
63,Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,128 years old,New Delhi +311 more,"Job Security, Company Culture, Work Satisfaction",Data missing
64,Bajaj Finance,4,NBFC,10k-50k Employees,Data missing,36 years old,Pune +729 more,"Salary & Benefits, Skill Development / Learning, Job Security",Data missing
65,TATA Steel,4.1,Iron & Steel,1 Lakh+ Employees,Public,116 years old,Mumbai +157 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
66,Udaan,4,Internet,1k-5k Employees,Indian Unicorn,7 years old,Bangalore +331 more,"Salary & Benefits, Skill Development / Learning",Data missing
67,L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,27 years old,Mumbai +76 more,Job Security,Data missing
68,ITC,3.9,FMCG,10k-50k Employees,Public,48 years old,Kolkata +287 more,"Job Security, Skill Development / Learning",Data missing
69,Zydus Lifesciences,4.1,Pharma,10k-50k Employees,Public,71 years old,Ahmedabad +141 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
70,Wells Fargo,4.1,Banking,10k-50k Employees,Public,171 years old,San Francisco +20 more,"Job Security, Work Life Balance, Company Culture",Data missing
71,Delhivery,4,Data missing,10k-50k Employees,Fortune India 500,12 years old,Delhi +584 more,Skill Development / Learning,Data missing
72,JP Morgan Chase,4.2,Financial Services,50k-1 Lakh Employees,Forbes Global 2000,23 years old,New York +31 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
73,FIS,3.9,FinTech,10k-50k Employees,Data missing,55 years old,Jacksonville +40 more,"Work Life Balance, Company Culture, Job Security",Data missing
74,Quess,4,Recruitment,1 Lakh+ Employees,Public,16 years old,Bangalore +477 more,Work Life Balance,Data missing
75,Hindustan Unilever,4.2,FMCG,10k-50k Employees,Public,151 years old,London +404 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
76,Amazon Development Centre India,4.2,Internet,10k-50k Employees,Data missing,Data missing,Hyderabad/Secunderabad +62 more,"Company Culture, Salary & Benefits, Work Life Balance",Data missing
77,IIFL Finance,3.9,NBFC,10k-50k Employees,Public,28 years old,Mumbai +632 more,Data missing,Data missing
78,Hexaware Technologies,3.7,IT Services & Consulting,10k-50k Employees,Fortune India 500,33 years old,Mumbai +39 more,Data missing,Data missing
79,Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,40 years old,Mumbai +185 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
80,JSW Steel,3.9,Iron & Steel,10k-50k Employees,Public,41 years old,Mumbai +123 more,"Job Security, Skill Development / Learning",Data missing
81,Home Credit Finance,4.1,Financial Services,10k-50k Employees,Data missing,11 years old,Gurugram +109 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
82,Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,6 years old,Bangalore/Bengaluru +416 more,"Company Culture, Job Security, Skill Development / Learning",Data missing
83,Max Life Insurance,4.1,Insurance,10k-50k Employees,Data missing,23 years old,Gurgaon/Gurugram +365 more,"Company Culture, Skill Development / Learning, Job Security",Data missing
84,KPMG India,3.6,Management Consulting,10k-50k Employees,Data missing,36 years old,Bengaluru/Bangalore +74 more,Job Security,Data missing
85,Oracle,3.8,Software Product,50k-1 Lakh Employees,Public,46 years old,Austin +41 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
86,Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,158 years old,Mumbai +154 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
87,Muthoot Finance,3.5,NBFC,10k-50k Employees,Public,84 years old,Kochi/Cochin +597 more,Data missing,Data missing
88,Aurobindo Pharma,4,Pharma,10k-50k Employees,Public,37 years old,Hyderabad/Secunderabad +82 more,"Job Security, Salary & Benefits, Work Life Balance",Data missing
89,OPPO,3.9,Consumer Electronics & Appliances,10k-50k Employees,Public,19 years old,Dongguan +355 more,Skill Development / Learning,Data missing
90,eClerx,3.4,IT Services & Consulting,10k-50k Employees,Public,23 years old,Mumbai +17 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
91,Ashok Leyland,4.1,Automobile,5k-10k Employees,Public,75 years old,Chennai +199 more,"Skill Development / Learning, Work Satisfaction, Company Culture",Data missing
92,Capgemini Technology Services India Limited,4,IT Services & Consulting,1 Lakh+ Employees,Data missing,Data missing,Bengaluru/Bangalore +35 more,"Job Security, Work Life Balance, Company Culture",Data missing
93,Tata Projects,4.2,Engineering & Construction,5k-10k Employees,Public,44 years old,Mumbai +230 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
94,Shriram Transport Finance,4.1,NBFC,10k-50k Employees,Public,44 years old,Mumbai +758 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
95,Siemens,4.2,Power,5k-10k Employees,Public,176 years old,Munich +121 more,"Job Security, Company Culture, Work Life Balance",Data missing
96,Apollo Hospitals,4.1,Healthcare,10k-50k Employees,Public,40 years old,Chennai +175 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
97,JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,26 years old,Mumbai +68 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
98,Vivo,4,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,14 years old,Gurgaon/Gurugram +362 more,"Skill Development / Learning, Company Culture",Data missing
99,L&T Construction,4,Engineering & Construction,10k-50k Employees,Public,79 years old,Chennai +325 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
100,First Source,3.8,BPO,10k-50k Employees,Public,22 years old,Mumbai +51 more,Data missing,Data missing
101,Omega Healthcare,3.8,Healthcare,10k-50k Employees,Data missing,20 years old,Florida +38 more,Data missing,Data missing
102,JustDial,3.5,Internet,10k-50k Employees,Public,27 years old,Mumbai +165 more,Data missing,Data missing
103,Hero MotoCorp,4.1,Automobile,5k-10k Employees,Public,39 years old,Gurgaon/Gurugram +300 more,"Work Life Balance, Job Security, Company Culture",Data missing
104,Hewlett-Packard Enterprise,4.3,Emerging Technologies,10k-50k Employees,Forbes Global 2000,8 years old,Houston +95 more,"Company Culture, Work Life Balance, Job Security",Data missing
105,Megha Engineering & Infrastructures,4,Engineering & Construction,5k-10k Employees,Conglomerate,34 years old,Hyderabad/Secunderabad +275 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
106,Bajaj Allianz Life Insurance,4.1,Insurance,10k-50k Employees,Data missing,22 years old,Pune +479 more,"Salary & Benefits, Work Life Balance, Job Security",Data missing
107,Mahindra & Mahindra Financial Services,4.3,NBFC,10k-50k Employees,Public,32 years old,Mumbai +624 more,"Job Security, Company Culture, Work Life Balance",Data missing
108,Cyient,3.8,IT Services & Consulting,10k-50k Employees,Public,32 years old,Hyderabad/Secunderabad +32 more,Job Security,Data missing
109,ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,22 years old,Mumbai +250 more,Job Security,Data missing
110,D Mart,3.9,Retail,10k-50k Employees,Fortune India 500,23 years old,Mumbai +202 more,"Job Security, Company Culture",Data missing
111,Indiamart Intermesh,3.6,Internet,1k-5k Employees,Data missing,27 years old,Noida +131 more,Data missing,Data missing
112,BigBasket,4,Internet,10k-50k Employees,Indian Unicorn,12 years old,Bangalore +103 more,"Job Security, Skill Development / Learning",Data missing
113,Coforge,3.5,IT Services & Consulting,10k-50k Employees,Public,19 years old,Noida +82 more,Data missing,Promotions / Appraisal
114,Hyundai Motor,4.3,Automobile,10k-50k Employees,Fortune India 500,56 years old,Seoul +261 more,"Job Security, Salary & Benefits, Skill Development / Learning",Data missing
115,TVS Motor,4,Automobile,5k-10k Employees,Public,44 years old,Chennai +258 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Data missing
116,Nagarro,4.2,IT Services & Consulting,10k-50k Employees,Data missing,27 years old,Munich +36 more,"Company Culture, Work Life Balance, Salary & Benefits",Data missing
117,Reliance Communications,3.9,Telecom,201-500 Employees,Public,21 years old,Navi Mumbai +411 more,Skill Development / Learning,Data missing
118,Atos Syntel,3.5,IT Services & Consulting,5k-10k Employees,Data missing,43 years old,Troy +21 more,Data missing,Promotions / Appraisal
119,GlobalLogic,3.8,IT Services & Consulting,10k-50k Employees,Data missing,23 years old,San Jose +31 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
120,UST,3.9,IT Services & Consulting,10k-50k Employees,Data missing,22 years old,Aliso Viejo +34 more,"Work Life Balance, Company Culture",Data missing
121,IQVIA,4.1,Clinical Research,10k-50k Employees,Forbes Global 2000,41 years old,Durham +41 more,"Job Security, Company Culture, Work Life Balance",Data missing
122,Manappuram Finance,3.9,NBFC,10k-50k Employees,Public,74 years old,Thrissur/Trichur +461 more,"Skill Development / Learning, Promotions / Appraisal",Data missing
123,Bosch,4.3,Auto Components,10k-50k Employees,Public,137 years old,Gerlingen +92 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
124,Bosch Global Software Technologies,4.2,Software Product,10k-50k Employees,Data missing,33 years old,Gerlingen +27 more,"Job Security, Work Life Balance, Company Culture",Data missing
125,Virtusa Consulting Services,3.8,IT Services & Consulting,10k-50k Employees,Data missing,27 years old,Southborough +31 more,Data missing,Data missing
126,Cummins,4.4,Auto Components,5k-10k Employees,Fortune India 500,61 years old,Columbus +97 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
127,SBI Cards & Payment Services,3.7,Data missing,1k-5k Employees,Data missing,25 years old,Gurgaon/Gurugram +309 more,Data missing,Data missing
128,Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,10 years old,Gurgaon +111 more,Data missing,Job Security
129,Equitas Small Finance Bank,4.3,Banking,10k-50k Employees,Fortune India 500,16 years old,Chennai +344 more,"Job Security, Company Culture, Work Life Balance",Data missing
130,BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,Forbes Global 2000,19 years old,New York City +14 more,"Company Culture, Work Life Balance, Job Security",Data missing
131,BT Group,4.1,Telecom,10k-50k Employees,Forbes Global 2000,177 years old,London +17 more,"Job Security, Work Life Balance, Company Culture",Data missing
132,SMFG India Credit,4.1,NBFC,10k-50k Employees,Data missing,16 years old,Mumbai +470 more,"Salary & Benefits, Job Security, Skill Development / Learning",Data missing
133,Amdocs,4,Software Product,10k-50k Employees,Forbes Global 2000,41 years old,Chesterfield +14 more,"Company Culture, Job Security",Data missing
134,Schneider Electric,4.1,Industrial Automation,10k-50k Employees,Forbes Global 2000,24 years old,Paris +103 more,"Company Culture, Job Security, Skill Development / Learning",Data missing
135,CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,117 years old,Los Angeles +66 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
136,Cholamandalam Investment & Finance,4.1,NBFC,5k-10k Employees,Fortune India 500,45 years old,Chennai +591 more,"Salary & Benefits, Job Security, Skill Development / Learning",Data missing
137,Future Group,4.3,Retail,10k-50k Employees,Conglomerate,10 years old,Mumbai +199 more,"Skill Development / Learning, Company Culture, Work Life Balance",Data missing
138,L&T Technology Services,3.4,IT Services & Consulting,10k-50k Employees,Public,11 years old,Vadodara/Baroda +40 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
139,State Bank of India,3.7,Banking,1 Lakh+ Employees,Fortune India 500,217 years old,Mumbai +455 more,Job Security,Data missing
140,Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,9 years old,Bangalore +174 more,Salary & Benefits,Data missing
141,JBM Group,4,Auto Components,1k-5k Employees,Public,40 years old,Gurgaon/Gurugram +83 more,"Job Security, Skill Development / Learning",Data missing
142,Dell,4.1,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,39 years old,Round Rock +88 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
143,Ekart Logistics,4,Logistics,5k-10k Employees,Data missing,14 years old,San Francisco +526 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Data missing
144,Ecom Express,4,Logistics,10k-50k Employees,Data missing,11 years old,Gurgaon +585 more,"Skill Development / Learning, Work Life Balance, Company Culture",Data missing
145,SBI Life Insurance Company,3.8,Insurance,10k-50k Employees,Data missing,22 years old,Mumbai +498 more,Job Security,Data missing
146,Optum,4,Healthcare,10k-50k Employees,Data missing,46 years old,Prairie +26 more,"Job Security, Work Life Balance, Company Culture",Data missing
147,Bajaj Auto,3.9,Automobile,5k-10k Employees,Public,78 years old,Pune +229 more,Data missing,Data missing
148,Nagarjuna Construction Company,4.1,Engineering & Construction,5k-10k Employees,Public,25 years old,Hyderabad/Secunderabad +210 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
149,KEC International,4.1,Engineering & Construction,5k-10k Employees,Public,78 years old,Mumbai +254 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
150,Aditya Birla Fashion and Retail,4.2,Retail,10k-50k Employees,Fortune India 500,8 years old,Mumbai +216 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
151,Muthoot Fincorp,4,NBFC,10k-50k Employees,Conglomerate,136 years old,Trivandrum/Thiruvananthapuram +517 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
152,Viatris,4.3,Pharma,10k-50k Employees,Forbes Global 2000,62 years old,Canonsburg +68 more,"Salary & Benefits, Job Security, Work Life Balance",Data missing
153,Piramal Capital Housing Finance,4.2,NBFC,1k-5k Employees,Data missing,3 years old,Mumbai +306 more,"Company Culture, Skill Development / Learning, Salary & Benefits",Data missing
154,Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,37 years old,Noida +72 more,Job Security,Data missing
155,Tata Communications,4.1,Telecom,5k-10k Employees,Public,37 years old,Mumbai +86 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
156,Royal Enfield,4.2,Automobile,10k-50k Employees,Data missing,122 years old,Gurgaon/Gurugram +282 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Data missing
157,Godrej & Boyce Manufacturing,3.9,Engineering & Construction,10k-50k Employees,Fortune India 500,126 years old,Mumbai +126 more,Job Security,Data missing
158,L&T Finance,4,NBFC,10k-50k Employees,Public,29 years old,Mumbai +456 more,"Salary & Benefits, Skill Development / Learning",Data missing
159,LG Electronics,4,Consumer Electronics & Appliances,10k-50k Employees,Public,65 years old,Seoul +235 more,"Job Security, Skill Development / Learning",Data missing
160,John Deere,4.3,IT Services & Consulting,5k-10k Employees,Fortune India 500,22 years old,Moline +112 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
161,Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,23 years old,Ahmedabad +111 more,"Job Security, Work Life Balance, Salary & Benefits",Data missing
162,Whitehat jr,3.5,EdTech,5k-10k Employees,Startup,5 years old,Mumbai +49 more,Data missing,Job Security
163,Varun Beverages,4,Beverage,5k-10k Employees,Public,28 years old,Gurgaon/Gurugram +258 more,"Job Security, Salary & Benefits",Data missing
164,Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,57 years old,Pune +160 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
165,Hetero Drugs,3.8,Pharma,1k-5k Employees,Data missing,30 years old,Hyderabad/Secunderabad +38 more,Job Security,Data missing
166,Deutsche Bank,4.1,Banking,10k-50k Employees,Fortune India 500,153 years old,Frankfurt +34 more,"Job Security, Company Culture, Work Life Balance",Data missing
167,Randstad,3.9,Recruitment,5k-10k Employees,Conglomerate,31 years old,Chennai +234 more,Data missing,Data missing
168,Havells,4.1,Electrical Equipment,5k-10k Employees,Public,40 years old,Noida +167 more,"Work Life Balance, Salary & Benefits, Company Culture",Data missing
169,Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,15 years old,Issy les Moulineaux +127 more,"Skill Development / Learning, Company Culture, Work Life Balance",Data missing
170,Ford Motor,4.4,Automobile,5k-10k Employees,Public,120 years old,Dearborn +105 more,"Company Culture, Work Life Balance, Salary & Benefits",Data missing
171,Abbott Healthcare,4.1,Pharma,10k-50k Employees,Public,32 years old,Illinois City +167 more,"Company Culture, Salary & Benefits, Work Life Balance",Data missing
172,Persistent Systems,3.8,IT Services & Consulting,10k-50k Employees,Public,33 years old,Pune +28 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
173,Subros,3.9,Auto Components,1k-5k Employees,Public,38 years old,Noida +53 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
174,Macleods Pharmaceuticals,3.8,Pharma,10k-50k Employees,Public,37 years old,Mumbai +90 more,Job Security,Data missing
175,CARS24,3.6,Internet,5k-10k Employees,Indian Unicorn,8 years old,Gurgaon +143 more,Data missing,Data missing
176,VE Commercial Vehicles,4,Automobile,1k-5k Employees,Data missing,15 years old,Gurgaon/Gurugram +123 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
177,Automatic Data Processing (ADP),4.1,Software Product,1k-5k Employees,Forbes Global 2000,74 years old,New Jersey +21 more,"Job Security, Company Culture, Work Life Balance",Data missing
178,American Express,4.3,Financial Services,10k-50k Employees,Forbes Global 2000,173 years old,New York City +41 more,"Company Culture, Work Life Balance, Job Security",Data missing
179,UnitedHealth,4.1,Healthcare,10k-50k Employees,Forbes Global 2000,46 years old,Minnetonka +14 more,"Job Security, Work Life Balance, Company Culture",Data missing
180,Standard Chartered Bank,3.9,Banking,10k-50k Employees,Fortune India 500,54 years old,London +56 more,"Job Security, Company Culture",Data missing
181,Team Lease,3.9,Recruitment,1k-5k Employees,Public,7 years old,Bangalore/Bengaluru +284 more,Data missing,Data missing
182,Cgi Group,4.1,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,47 years old,Montreal +20 more,"Job Security, Company Culture, Work Life Balance",Data missing
183,Pidilite Industries,4.4,Chemicals,5k-10k Employees,Public,64 years old,Mumbai +217 more,"Job Security, Company Culture, Work Life Balance",Data missing
184,Bharat Electronics,4.1,Electronics Manufacturing,5k-10k Employees,Fortune India 500,69 years old,Bangalore/Bengaluru +41 more,"Work Life Balance, Company Culture, Skill Development / Learning",Data missing
185,Atos,3.8,IT Services & Consulting,201-500 Employees,Forbes Global 2000,26 years old,Vilnius +37 more,"Work Life Balance, Job Security",Data missing
186,Publicis Sapient,3.6,IT Services & Consulting,10k-50k Employees,Data missing,33 years old,New York +22 more,Data missing,Data missing
187,Alkem Laboratories,3.9,Pharma,10k-50k Employees,Public,50 years old,Mumbai +146 more,Data missing,Data missing
188,Hindalco Industries,4.2,Metals & Mining,10k-50k Employees,Public,65 years old,Mumbai +77 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
189,Indian Air Force,4.6,Defence & Aerospace,1 Lakh+ Employees,Data missing,91 years old,New Delhi +109 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
