,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
8002,STAR TV,4,Broadcasting,201-500 Employees (Global),Data missing,32 years old,Mumbai +14 more,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Data missing
8003,Formel D,3.8,Auto Components,201-500 Employees,Data missing,30 years old,Troisdorf +8 more,Data missing,"Job Security, Promotions / Appraisal, Salary & Benefits"
8004,Zee News,4.2,Broadcasting,10k-50k Employees,Public,24 years old,Noida +11 more,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Data missing
8005,Zieta Technologies,3.3,IT Services & Consulting,201-500 Employees,Data missing,22 years old,Atlanta +7 more,Data missing,Salary & Benefits
8006,Bernhard Schulte Shipmanagement,4,Ports & Shipping,51-200 Employees,Data missing,140 years old,Hamburg +7 more,"Job Security, Company Culture, Work Life Balance",Data missing
8007,UB Engineering,4.6,Engineering & Construction,51-200 Employees,Public,60 years old,Pune +17 more,"Company Culture, Salary & Benefits, Work Life Balance",Data missing
8008,INOXCVA,4,Financial Services,1k-5k Employees,Data missing,31 years old,Vadodara +7 more,Job Security,Data missing
8009,Atlassian,3.8,IT Services & Consulting,501-1k Employees,Forbes Global 2000,21 years old,Sydney +2 more,"Work Life Balance, Salary & Benefits, Company Culture",Data missing
8010,Axis Mutual Fund,4.2,Financial Services,501-1k Employees,Public,14 years old,Mumbai +26 more,"Skill Development / Learning, Work Life Balance, Job Security",Data missing
8011,GETIT Infoservices,2.9,Internet,11-50 Employees,Data missing,37 years old,Delhi +21 more,Data missing,"Job Security, Promotions / Appraisal, Work Satisfaction"
8012,Via.com,3.7,Media & Entertainment,201-500 Employees,Data missing,18 years old,New York City +10 more,"Work Life Balance, Job Security",Promotions / Appraisal
8013,INFAC,3.5,Auto Components,Data missing,Data missing,54 years old,Songpa-gu +3 more,Data missing,Promotions / Appraisal
8014,Transaction Solution International India,3.7,IT Services & Consulting,51-200 Employees,Data missing,18 years old,New Delhi +9 more,Data missing,Promotions / Appraisal
8015,Indian Potash,3.8,Agro Chemicals,1k-5k Employees,Data missing,68 years old, Chennai +22 more,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
8016,Desein,4.1,Engineering & Construction,501-1k Employees,Data missing,58 years old,New Delhi +11 more,"Skill Development / Learning, Job Security, Work Life Balance",Data missing
